user,term,time
66,SPSS,9/14/15 13:12
67,R,9/14/15 8:48
67,Probability,9/14/15 8:48
67,Sampling Statistics,9/14/15 8:48
67,Time Series,9/14/15 8:48
67,Hypothesis Testing,9/14/15 8:48
67,Dynamic Optimization,9/14/15 8:48
67,Linear Algebra,9/14/15 8:48
67,Multinomial Modeling,9/14/15 8:48
67,Regression,9/14/15 8:48
67,Matrix Algebra,9/14/15 8:48
68,Data Visualization,9/14/15 7:18
68,Neural Networks,9/14/15 7:18
69,Bayesian Networks,9/14/15 6:04
69,McMc,9/14/15 6:04
69,pip,9/14/15 6:04
69,dplyr,9/14/15 6:04
69,Unsupervised,9/14/15 6:04
69,Programming,9/14/15 6:04
69,Matrix Factorization,9/14/15 6:04
69,Clustering,9/14/15 6:04
69,Dynamic Optimization,9/14/15 6:04
69,Github,9/14/15 6:04
70,Python,9/14/15 4:54
70,Machine Learning,9/14/15 4:54
70,NoSQL,9/14/15 4:54
70,Statistics,9/14/15 4:54
71,PCA,9/14/15 2:10
71,Manova,9/14/15 2:10
71,Time Series,9/14/15 2:10
71,Dynamic Optimization,9/14/15 2:10
72,Seaborn,9/13/15 23:40
72,Plotly,9/13/15 23:40
72,sqldf,9/13/15 23:40
72,Caret,9/13/15 23:40
72,BeautifulSoup,9/13/15 23:40
72,statsmodels,9/13/15 23:40
72,Reshape,9/13/15 23:40
73,Geospatial,9/13/15 18:10
73,Project Management,9/13/15 18:10
73,Science,9/13/15 18:10
74,Monoids,9/13/15 15:19
74,Spark,9/13/15 15:19
74,Shiny,9/13/15 15:19
74,Javascript,9/13/15 15:19
74,Gibbs Sampling,9/13/15 15:19
74,D3,9/13/15 15:19
75,dplyr,9/12/15 21:02
75,ggplot,9/12/15 21:02
75,Lubridate,9/12/15 21:02
75,Linux Command Line Tools,9/12/15 21:02
75,XML,9/12/15 21:02
75,Gensim,9/12/15 21:02
75,Stringr,9/12/15 21:02
75,sqldf,9/12/15 21:02
76,XML,9/12/15 19:52
76,CSS,9/12/15 19:52
76,GIS,9/12/15 19:52
76,Multinomial Modeling,9/12/15 19:52
76,Support Vector Machines,9/12/15 19:52
76,Decision Trees,9/12/15 19:52
76,Linear Algebra,9/12/15 19:52
76,Javascript,9/12/15 19:52
76,Java,9/12/15 19:52
76,Text Mining,9/12/15 19:52
76,Calculus,9/12/15 19:52
76,HTML,9/12/15 19:52
76,McMc,9/12/15 19:52
76,Project Management,9/12/15 19:52
76,Bayesian Statistics,9/12/15 19:52
76,Descriptive Statistics,9/12/15 19:52
76,Distributed Storage,9/12/15 19:52
76,Spatial Statistics,9/12/15 19:52
76,Bugs,9/12/15 19:52
76,JSON,9/12/15 19:52
76,Web Scraping,9/12/15 19:52
76,Bayesian Networks,9/12/15 19:52
76,SAS,9/12/15 19:52
77,Pandas,9/10/15 15:21
77,Clustering,9/10/15 15:21
77,Python,9/10/15 15:21
77,R,9/10/15 15:21
77,SQL,9/10/15 15:21
77,D3,9/10/15 15:21
77,Random Forest,9/10/15 15:21
77,Simulation,9/10/15 15:21
77,Matrix Algebra,9/10/15 15:21
77,Tableau,9/10/15 15:21
77,Dataframes,9/10/15 15:21
77,Regression,9/10/15 15:21
78,SQL,9/10/15 14:43
78,Scikitlearn,9/10/15 14:43
78,Machine Learning,9/10/15 14:43
78,Modeling,9/10/15 14:43
78,pip,9/10/15 14:43
78,Statistical Analysis,9/10/15 14:43
78,Programming,9/10/15 14:43
78,Visual Analytics,9/10/15 14:43
78,Bokeh,9/10/15 14:43
78,Scipy,9/10/15 14:43
78,Numpy,9/10/15 14:43
78,Pandas,9/10/15 14:43
78,Hypothesis Testing,9/10/15 14:43
78,Subject Matter Experts,9/10/15 14:43
78,Github,9/10/15 14:43
78,iPython Notebook,9/10/15 14:43
78,Python,9/10/15 14:43
79,Spark Streaming,9/10/15 12:48
79,Storm,9/10/15 12:48
79,PCA,9/10/15 12:48
79,Matrix Factorization,9/10/15 12:48
79,Recommenders,9/10/15 12:48
79,Streaming,9/10/15 12:48
79,Time Series,9/10/15 12:48
79,SQL,9/10/15 12:48
79,PostgreSQL,9/10/15 12:48
79,Simulation,9/10/15 12:48
79,Anacondas,9/10/15 12:48
79,Bokeh,9/10/15 12:48
80,Service Oriented Architecture,9/10/15 1:00
80,Ruby,9/10/15 1:00
80,RelationshipDatabase,9/10/15 1:00
80,Unix,9/10/15 1:00
80,MapReduce,9/10/15 1:00
80,SQL,9/10/15 1:00
81,Genetic Algorithms,9/10/15 0:36
81,Optimization,9/10/15 0:36
81,Monte Carlo Simulation,9/10/15 0:36
81,Hierarchical Clustering,9/10/15 0:36
82,Time-Series Approaches,9/10/15 0:16
82,Natural Language Processing,9/10/15 0:16
82,Regex,9/10/15 0:16
82,Agent Based Models,9/10/15 0:16
82,Random Forest,9/10/15 0:16
82,Unsupervised,9/10/15 0:16
82,Clustering,9/10/15 0:16
82,Linear Regression,9/10/15 0:16
82,Support Vector Machine,9/10/15 0:16
82,Bayesian Approach,9/10/15 0:16
82,Deep Learning,9/10/15 0:16
